NAME,POSITION,AGENCY,ROLE
TUAN TS. SABDIL BIN TANJONG ,PENGURUS BESAR / AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
TUAN ALEXIUS MODIUN,AHLI LEMBAGA PENGARAH TUARAN CRUMB,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
TUAN DASAU BIN HASSAN,AHLI LEMBAGA PENGARAH LIGS SOLUTION,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
EN. MOHD ZAHARI BIN ZININ,CHAIRMAN,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
EN.HISHAM AMPONGOU ABDULLAH,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DATUK BARLUS BIN MANGABIS,CHAIRMAN,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
EN.ABDUL THAUFIQ BIN JABBAR ABDUL HAQ,CHAIRMAN,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
PN NORHAIZAH BINTI ABU BAKAR,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
PUAN VIANNEY EVANA VIDE,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DATUK ABI WEDNES BIN GAGAMBOI,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
ENCIK KIFLI BIN AISOH,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DR ZUL BAHAR BIN ABDUL RASHID,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DATIN ATIN BELYNDA BINTI BUNTOT,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG DATUK SYAHEDDRUL RAHMAN JODDARI,PENGURUS BESAR LEMBAGA KEMAJUAN TANAH NEGERI SABAH,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
ENCIK PINUS BIN GONDILI,AHLI LEMBAGA PENGARAH LKTNS,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG EN. ZAIDI BIN JATILI,AHLI LEMBAGA PENGARAH LKTNS,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG DR PETER JR NAINTIN,"AHLI LEMBAGA PENGARAH, LKTNS",LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG PUAN ALZREENA KHAMIS,"SETIAUSAHA LEMBAGA PENGARAH, LKTNS",LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
PUAN DAKIM GINSOS,PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
PUAN AZRINA MOHD MARUF,PENGARAH URUSAN,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
DOLLYN BINTI ALOYSIUS @ ATTI,BOD MEMBER - BATULUGA SDN BHD,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YB DATUK DONALD PETER MOJUNTIN,PENGERUSI LEMBAGA,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG PUAN HAJAH MASTURAH BINTI HAJI JAMRAH,TIMBALAN PENGERUSI LEMBAGA,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK DR. JOHNSON TEE,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK MOHAMMED SAHID BIN HAJI NAWAB KHAN,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK ABU BAKAR BIN GAPAR,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG TUAN HAJI MOHD IBRAHIM BIN HAJI MOHD YASSIN @ M.Y. IBRAHIM,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG TUAN MAKSIT BIN HAJI SAIDI,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
PUAN MIMI SHAZMIRA BINTI MOHD SAID,PENOLONG PENGURUS BESAR (OPERASI & PERUNDANGAN) / SETIAUSAHA LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
DATUK ASNIMAR BINTI HJ SUKARDI,AHLI LEMBAGA PENGARAH,LEMBAGA PELANCONGAN SABAH,PESERTA
ROSLINAH BT ABD HAMID,AHLI LEMBAGA PENGARAH,LEMBAGA PELANCONGAN SABAH,PESERTA
DUSIN BIN GINGGING,AHLI LEMBAGA PENGARAH,LEMBAGA PELANCONGAN SABAH,PESERTA
WALTER KANDAYON,AHLI LEMBAGA PENGARAH,LEMBAGA PELANCONGAN SABAH,PESERTA
JULINUS JEFFERY JIMIT,KETUA PEGAWAI EKSEKUTIF,LEMBAGA PELANCONGAN SABAH,PESERTA
ENCIK GABRIEL SINIT ,AHLI LEMBAGA PEMEGANG AMANAH TAMAN-TAMAN SABAH,LEMBAGA PEMEGANG AMANAH TAMAN-TAMAN SABAH,PESERTA
ENCIK ROBERT PENGGAI ,AHLI LEMBAGA PEMEGANG AMANAH TAMAN-TAMAN SABAH ,LEMBAGA PEMEGANG AMANAH TAMAN-TAMAN SABAH,PESERTA
ENCIK FAZRULLAH RIZALLY ABD RAZAK ,KETUA PENOLONG PENGARAH KANAN ,LEMBAGA PEMEGANG AMANAH TAMAN-TAMAN SABAH,PESERTA
YB DATUK MASIUNG BANAH,PENGERUSI,PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO),PESERTA
DATUK THOMAS LOGIJIN,AHLI LEMBAGA PENGARAH,PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO),PESERTA
DATUK AR. JAMES WONG KEIN PENG,AHLI LEMBAGA PENGARAH / PENGURUS BESAR KUMPULAN,PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO),PESERTA
DATO’ HERMAN BIN ABDUL HAMID,AHLI LEMBAGA PENGARAH,PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO),PESERTA
TUAN HAJI AZRUL BIN HAJI AHMAD,TIMBALAN PENGURUS BESAR KUMPULAN (HAL EHWAL KORPORAT & KEWANGAN),PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO),PESERTA
YBHG. DATUK FLOVIA NG,PENGURUSI,PERKASA HOTEL HOLDINGS SDN BHD (ANAK SYARIKAT SEDCO),PESERTA
BENJAMIN DENIS,PENGARAH,PERKASA HOTEL HOLDINGS SDN BHD (ANAK SYARIKAT SEDCO),PESERTA
VALERIA VYNER PILLIN,PENGURUS BESAR,PERKASA HOTEL HOLDINGS SDN BHD (ANAK SYARIKAT SEDCO),PESERTA
CAPT. AZAHARI AHMAD ,CHIEF EXECUTIVE OFFICER ,SABAH AIR AVIATION SDN BHD,PESERTA
TN. HJ. MOHD. RIFAI MOHD RAZI,DIRECTOR ,SABAH AIR AVIATION SDN BHD,PESERTA
PN. REZUANA SUDIN ,FINANCIAL CONTROLLER ,SABAH AIR AVIATION SDN BHD,PESERTA
MAU KAM WAI ,DIRECTOR,SABAH AIR AVIATION SDN BHD,PESERTA
SUE RACHELLE PAUL,KETUA PEGAWAI PERKHIDMATAN KORPORAT DAN UNDANG-UNDANG,"SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY
(SEDIA)",PESERTA
MOHD. AFFANDI BIN HARUN,AKAUNTAN KANAN,"SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY
(SEDIA)",PESERTA
KHADIZAH BINTI ABD RAHMAN,PEGAWAI ANALISA DASAR KANAN,"SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY
(SEDIA)",PESERTA
YB DATUK MOHAMMAD BIN MOHAMARIN,PENGERUSI ,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
TUAN KHAZARUDIN BIN KAHAR,TIMBALAN PENGERUSI,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
DATUK ALSAT BIN EDRIS @ ARSAT IDRIS,AHLI LEMBAGA PENGARAH,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
PUAN SARIDAH AB LAKATA,AHLI LEMBAGA PENGARAH,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
PUAN HALIJAH BINTI DIN,AHLI LEMBAGA PENGARAH,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
ENCIK BURHAN HJ JAPAR,PENGURUS BESAR,SABAH FISH MARKETING SDN BHD (SAFMA),PESERTA
DATUK AZAMAN @ AZMAN BIN RUSLAN,PENGERUSI SYARIKAT,SABAH NET SDN. BHD.,PESERTA
DATUK JASMINE TEO GECK CHOO ,PENGARAH,SABAH NET SDN. BHD.,PESERTA
PUAN ERNYWATI DEWI BINTI ABAS,PENGARAH ,SABAH NET SDN. BHD.,PESERTA
TUAN HAJI RAMSAH @ RAMLI BIN TAHIR,PENGARAH,SAHAM SABAH BERHAD,PESERTA
AISAH BINTI SAYADI,PENGARAH,SAHAM SABAH BERHAD,PESERTA
MEHERUNNISA BINTI MOHAMMED ZULFIKAR,KETUA PEGAWAI EKSEKUTIF,SAHAM SABAH BERHAD,PESERTA
NELLIE SIKODOL,"TIMBALAN PENGERUSI, AHLI LEMBAGA PENGARAH",SAHAM SABAH BERHAD,PESERTA
NOOR ASPAH LELA ABU BAKAR,TIMBALAN KETUA PEGAWAI EKSEKUTIF,SAHAM SABAH BERHAD,PESERTA
DATUK VICTOR ATION,GROUP MANAGING DIRECTOR/GROUP CHIEF EXECUTIVE OFFICER,SAWIT KINABALU BERHAD,PESERTA
MARY KU MEI LI,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATO' DR JANATHAN KANDOK ,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
FRED STANLEY SINIDOL,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATUK ZAKARIA MOHD EDRIS ,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATUK ABDUL RAHMAN BIN KONGKAWANG,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATUK DR. DIONYSIA KIBAT,GROUP CHIEF EXECUTIVE OFFICER & EXECUTIVE DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
SOONG THEN THEN @ SAMANTHA SOONG,CHIEF LEGAL & COMMERCIAL OFFICER,SMJ ENERGY SDN BHD,PESERTA
KENNY HUAH,CHIEF FINANCIAL OFFICER,SMJ ENERGY SDN BHD,PESERTA
FAISAL BIN ABDUL RAHMAN,SIP CHIEF EXECUTIVE OFFICER,SMJ ENERGY SDN BHD,PESERTA
PUAN GRACE CHU @ CHU SHUK KEN,BOARD OF DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
DATUK ALBERT LO,BOARD OF DIRECTOR AND CHIEF OPERATING OFFICER UPSTREAM,SMJ ENERGY SDN BHD,PESERTA
CHENG LAY KUAN,COMPANY SECRETARY,SMJ ENERGY SDN BHD,PESERTA
ROSELI BIN SINDONG ,PENGARAH URUSAN ,YAYASAN USAHA MAJU,PESERTA
SAHRINI BINTI SAHAT,PENOLONG PENGARAH URUSAN (PENTADBIRAN),YAYASAN USAHA MAJU,PESERTA
DATUK HAJJAH MYRNA JIMENEZ@ISABELO,SETIAUSAHA TETAP KPLB,YAYASAN USAHA MAJU,PESERTA
ENCIK MACKEY APISON,PENGURUS BESAR,LEMBAGA KEBUDAYAAN NEGERI SABAH,PESERTA
DATUK HJH MUSLIATI BINTI MOSLIMIN,AHLI LEMBAGA PENGARAH,LEMBAGA KEBUDAYAAN NEGERI SABAH,PESERTA
ENCIK MOHD RASHDEY BIN DATUK HJ SABARDIN,AHLI LEMBAGA PENGARAH,LEMBAGA KEBUDAYAAN NEGERI SABAH,PESERTA
MOHD FAIZAL BIN SAIDI,PENGURUS BESAR QCBSB,QHAZANAH SABAH BERHAD,PESERTA
SUHAIMI BIN ISMAIL ,TIMBALAN PENGERUSI QCBSB ,QHAZANAH SABAH BERHAD,PESERTA
TUAN HAJI MOHAMAD DAMSHAL BIN AWANG DAMIT,GROUP CHIEF EXECUTIVE OFFICER,QHAZANAH SABAH BERHAD,PESERTA
YB. SENATOR TAN SRI DATUK SERI PANGLIMA ANIFAH BIN AMAN,PENGERUSI,QHAZANAH SABAH BERHAD,PESERTA
DATUK ROSEMARY AHPING,PENGURUS BESAR,LEMBAGA PEMBANGUNAN PERUMAHAN & BANDAR,PESERTA
MILDRED JENNIFER G. SHAM,"TIMBALAN PENGURUS BESAR/PENGURUS HARTA,PENJUALAN & PEMASARAN",LEMBAGA PEMBANGUNAN PERUMAHAN & BANDAR,PESERTA
TAN SRI SUKARTI BIN WAKIMAN,CHAIRMAN,PROGRESSIVE INSURANCE BERHAD,PESERTA
TUAN JAIMIN BIN KAMIN,CHIEF EXECUTIVE OFFICER,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATUK KHALID BIN ABDOL RAHMAN,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATUK GEORGE TAITIM TULAS,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
MR TAN SEE DIP,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATUK BAHRUL RAZHA BIN HAJI CHUPRAT,PENGURUS BESAR,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
ENCIK BARHUL BIN SAHIBU,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
PUAN NOR HAYATY BINTI MOHD ADNAN,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
PUAN LINDSAY MICHAEL GODTOL,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
MICHAEL JIMLI GUJILO,PENGURUS BESAR,LEMBAGA PEMASARAN PERTANIAN SABAH (SAMA),PESERTA
EMILIANA CHIN YEN LING,CHIEF EXECUTIVE OFFICER,DESA GROUP SDN BHD,PESERTA
DR ZUL BAHAR BIN ABDUL RASHID,PENGARAH,DESA GROUP SDN BHD,PESERTA
MR CHOW CHUN NIAN,ACCOUNTS MANAGER,DESA GROUP SDN BHD,PESERTA
EN MUHAMMAD KHAIRULNIZAM BIN HASNAN,CHIEF EXECUTIVE OFFICER,"QHAZANAH HEALTHCARE SDN BHD
(SUBS QSB)",PESERTA
ALFIAN BIN RAHIM,AHLI LEMBAGA PENGARAH,MLGH (S) SDN BHD,PESERTA
TUAN HAJI FAEZ AINSTEIN BIN NORDIN,GENERAL MANAGER,ANGKATAN HEBAT SDN BHD,PESERTA
DATUK DR. STEPHEN JACOB JIMBANGAN,DEPUTY CHAIRMAN,ANGKATAN HEBAT SDN BHD,PESERTA
SYED AHMAD BIN SYED ABAS ,PENGERUSI,LEMBAGA SUKAN NEGERI SABAH,PESERTA
MUHD FIRDAUS BIN KASSIM ,TIMBALAN PENGURUS BESAR ,LEMBAGA SUKAN NEGERI SABAH,PESERTA
D. MARYAMA BINTI AG. DAUD,AHLI LEMBAGA ,LEMBAGA SUKAN NEGERI SABAH,PESERTA
TUAN MAT SAIDI BIN MINTING,PENGURUS BESAR,PERKASA REALTY (ANAK SYARIKAT SEDCO),PESERTA
DATUK DR. CHRISTOPHER MANDUT,PENGERUSI/ AHLI LEMBAGA PENGARAH,PERKASA REALTY (ANAK SYARIKAT SEDCO),PESERTA
RAYMOND CHIEW VUI LEONG,CHIEF OPERATING OFFICER,SABAH INTERNATIONAL DIARIES SDN BHD (SID),PESERTA
FOO JEN WEI,GENERAL MANAGER,LAHAD DATU FLOUR MILL SDN BHD (ANAK SYARIKAT SEDCO,PESERTA
SABILI AHUNANG,AHLI LEMBAGA PENGARAH,KINABALU INTERNATIONAL HOTEL SDN BHD ( ANAK SEDCO),PESERTA
DATUK MARY ANGELA SIPAUN,DIRECTOR,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
NATASHA SIM NUO,CHIEF EXECUTIVE OFFICER,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
BONNY SALESON DOUIS,HUMAN RESOURCE MANAGER,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
"SIM FUI , JP",CHIEF EXECUTIVE OFFICER,KOJASA HOLDINGS BERHAD (ANAK SYARIKAT QHAZANAH),PESERTA
DATUK ZAMANI BIN BASRI,DEPUTY CHAIRMAN,KOJASA HOLDINGS BERHAD (ANAK SYARIKAT QHAZANAH),PESERTA
DATUK TEO AN LUN @ GEORGE,DIRECTOR,KOJASA HOLDINGS BERHAD (ANAK SYARIKAT QHAZANAH),PESERTA
TUAN HAJI BIN TAHIR,KETUA PEGAWAI EKSEKUTIF,IIB INSURANCE BROKERS SDN BHD (ANAK SYARIKAT SEDCO),PESERTA
LAND YEE FONG,DIRECTOR,IIB INSURANCE BROKERS SDN BHD (ANAK SYARIKAT SEDCO),PESERTA
JEREMY RONALD E KIMSIN,KETUA PEGAWAI EKSEKUTIF,"COMMON TOWER TECHNOLOGIES SDN BHD 
(SUBS QSB)",PESERTA
RUDY JAGLUL,AHLI LEMBAGA PENGARAH,"COMMON TOWER TECHNOLOGIES SDN BHD 
(SUBS QSB)",PESERTA
DATUK YUSSOF MOHAMED KASSIM,CHAIRMAN,TABIN WILDLIFE HOLIDAYS,PESERTA
LAWRENCE CHIN,CEO,TABIN WILDLIFE HOLIDAYS,PESERTA
DATUK TPR. ALIJUS @ MOHD ALI BIN SIPIL,GENERAL MANAGER,TANJUNG ARU ECO DEVELOPMENT SDN BHD (TAED),PESERTA
TPR. AUGUS TAMANING,DIRECTOR,TANJUNG ARU ECO DEVELOPMENT SDN BHD (TAED),PESERTA
MUAMMAR JULKARNAIN,PENGARAH URUSAN ,SMART SABAH CORPORATION SDN BHD,PESERTA
NONNY ATIKA YAHYA,PENGURUS BESAR,SMART SABAH CORPORATION SDN BHD,PESERTA
MOHD HANAFIAH BIN MOHD KASSIM,AHLI LEMBAGA PENGARAH,SMART SABAH CORPORATION SDN BHD,PESERTA
MOHD ZAKARIA BIN MANDALAM,"PENGURUS , PEMBANGUNAN PERNIAGAAN",SMART SABAH CORPORATION SDN BHD,PESERTA
MOHD SHAHRIL BIN MOHAMAD ZAINI,"PENGURUS, AKAUN DAN KEWANGAN",SMART SABAH CORPORATION SDN BHD,PESERTA
SHAMSUL BAHRI BIN JOHARI,KETUA PEGAWAI EKSEKUTIF,SEDCO MINING SDN BHD,PESERTA
DATUK SR. ALAN CHUA MING LING,PENGERUSI,SEDCO MINING SDN BHD,PESERTA
DATUK JOHARI SAIMAN,TIMBALAN  PENGERUSI,SEDCO MINING SDN BHD,PESERTA
DATUK HAJI RUSDIN @ MUSIDI BIN RIMAN,PENGERUSI,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK SARINUM BINTI SADIKUN,TIMBALAN PENGERUSI ,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK MARY E DUMPANGOL @ AMINAH AMBROSE,AHLI,PERBADANAN PINJAMAN SABAH,PESERTA
DATUK WILLIE TADAM,AHLI,PERBADANAN PINJAMAN SABAH,PESERTA
NIXON BIN ABDUL HABI,AHLI,PERBADANAN PINJAMAN SABAH,PESERTA
CHARLES PETER MOJUNTIN,KETUA PEGAWAI EKSEKUTIF,PERBADANAN PINJAMAN SABAH,PESERTA
MOHAMMAD FIRDAUS ISMAIL,,PERBADANAN PINJAMAN SABAH,PESERTA
VINSON JIT YONG TAN,ANAK SYARIKAT PPS (BIRSB),PERBADANAN PINJAMAN SABAH,PESERTA
NOREDAH OTHMAN ,KETUA PEGAWAI EKSEKUTIF,SABAH CONVENTION BUREAU,PESERTA
FRISCYELLA LAZABOT,PEGAWAI KEWANGAN,SABAH CONVENTION BUREAU,PESERTA
SITI SYAZLINA BT MAHMUD,EKSEKUTIF ADMIN,SABAH CONVENTION BUREAU,PESERTA
BAKRI BIN ISHAK,DIRECTOR ,SEDCO PRECAST SDN BHD,PESERTA
SHIU VAY LEUNG,GENERAL MANAGER,SEDCO PRECAST SDN BHD,PESERTA
DATUK HJ. FAISYAL BIN DATUK YUSOF HAMDAIN DIEGO,CHAIRMAN OF JETAMA SDN BHD,JETAMA SDN BHD,PESERTA
DATUK AHMAD NAIM BIN UDDANG ,CHIEF EXECUTIVE OFFICER OF JETAMA SDN BHD,JETAMA SDN BHD,PESERTA
DATUK ABIDIN BIN MADINGKIR,CHAIRMAN OF JETAMA WATER SDN BHD,JETAMA WATER SDN BHD,PESERTA
DATUK ELLRON ANGIN ,PENGERUSI,QHAZANAH TECHNOLOGY SDN BHD,PESERTA
TUAN ALFIAN BIN ABD RAHMAN ,"(KETUA PEGAWAI EKSEKUTIF, QTSB)",QHAZANAH TECHNOLOGY SDN BHD,PESERTA
JOEANNE LEE SOON EE,SETIAUSAHA EKSEKUTIF,"MAJLIS PERKHIDMATAN MASYARAKAT
SABAH (MPMS) ",PESERTA
SITTI AMIRAH BINTI HARMAN,BENDAHARI,"MAJLIS PERKHIDMATAN MASYARAKAT
SABAH (MPMS) ",PESERTA
IVY BENJAMIN BOTINGON,AHLI,"MAJLIS PERKHIDMATAN MASYARAKAT
SABAH (MPMS) ",PESERTA
YBRS. IR. TS. HJ. ROHAN BIN AHMAT,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
YBRS. TUAN OMAR SALIM BIN SAIDIN,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
YBRS. TUAN PATRICT @ SULAIMAN B SINNIL @ MOHD SABRI,AHLI LEMBAGA PENGARAH,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
YBHG. DATUK IR. TS. ADZMIR BIN ABD RAHMAN,CHIEF EXECUTIVE OFFICE,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
ENCIK AZHAR BIN EDRIS,"HEAD, BUSINESS DEVELOPMENT & GAS TRADING",SABAH ENERGY CORPORATION SDN BHD ,PESERTA
YB DATO INDERA DR SUHAILI BIN ABDUL RAHMAN,CHAIRMAN,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
DATO JAPAR BIN ESTEBAN,CHIEF EXECUTIVE OFFICER ,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
IR. TS. FAIZAL BIN ROSDI,"HEAD, TECHNICAL SERVICES",SABAH ENERGY CORPORATION SDN BHD ,PESERTA
" DATUK RUJI BIN UBI, JP",DEPUTY CHAIRMAN,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
 CHRISTOPHER NG ,DIRECTOR,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
ZULAINAHWATY BINTI SULAIMAN,HEAD OF DEPARTMENT,SABAH ENERGY CORPORATION SDN BHD ,PESERTA
ENCIK STEPHEN JILIMIN,PENGURUS BESAR,INNOPRISE CAPITAL SDN BHD,PESERTA
MUHAMMAD SHAIFFUL ADL BIN AWANG,KETUA INTEGRITI & TADBIR URUS,ENERGY COMMISSION OF SABAH (ECOS),PESERTA
IR. TS. JEFREY NURI,KETUA JABATAN/ PENGARAH JABATAN OPERASI INDUSTRI,ENERGY COMMISSION OF SABAH (ECOS),PESERTA
